"carat","cut","color","clarity","depth","table","price","x","y","z"
0.41,"Premium","F","VS2",62.4,56,1107,4.77,4.75,2.97
0.41,"Ideal","F","VS2",62.3,57,1107,4.78,4.75,2.97
0.41,"Ideal","F","VS2",61.8,57,1107,4.79,4.75,2.95
0.41,"Premium","F","VS2",62.6,58,1107,4.81,4.75,2.99
0.41,"Very Good","F","VS2",63.2,57,1107,4.76,4.74,3
0.41,"Ideal","F","VS2",61.9,56,1107,4.76,4.74,2.94
0.41,"Ideal","F","VS2",62.7,57,1107,4.78,4.73,2.98
0.41,"Premium","F","VS2",62.8,58,1107,4.73,4.69,2.96
0.41,"Premium","F","VS2",62.6,57,1107,4.74,4.71,2.96
0.41,"Ideal","F","VS2",62.7,56,1107,4.78,4.72,2.98
0.41,"Ideal","F","VS2",62.8,57,1107,4.76,4.73,2.98
0.41,"Ideal","F","VS2",61.8,57,1107,4.78,4.73,2.94
0.7,"Premium","I","I1",62.3,58,1107,5.69,5.55,3.51
0.31,"Premium","E","VVS2",62.3,56,1107,4.34,4.3,2.69
0.37,"Very Good","D","VVS1",62.3,54,1108,4.57,4.65,2.87
0.51,"Very Good","D","SI2",61.5,59,1108,5.07,5.14,3.14
0.42,"Ideal","H","VVS1",62.8,57,1108,4.79,4.79,3.01
0.42,"Very Good","D","VS1",62.5,57,1109,4.75,4.85,3
0.46,"Good","F","VS1",56.5,61,1109,5.11,5.05,2.87
0.59,"Very Good","I","SI1",62.8,59,1109,5.34,5.36,3.36
0.55,"Ideal","I","SI2",60.4,56,1109,5.32,5.36,3.23
0.32,"Ideal","E","VVS2",62.4,56,1109,4.43,4.39,2.75
0.34,"Ideal","D","VS1",60.9,56,1109,4.56,4.51,2.76
0.51,"Premium","D","SI2",60.2,58,1109,5.24,5.2,3.14
0.33,"Very Good","D","VS1",63.2,56,1109,4.45,4.44,2.81
0.51,"Fair","D","SI2",66.5,58,1109,4.95,4.89,3.27
0.53,"Very Good","F","SI2",63.2,55,1110,5.17,5.18,3.27
0.48,"Premium","F","SI1",60.6,62,1110,5.06,5,3.05
0.5,"Ideal","I","VS2",62.4,55,1110,5.09,5.11,3.18
0.5,"Ideal","I","VS2",62,55,1110,5.1,5.12,3.17
0.41,"Ideal","G","SI1",61.6,57,1110,4.77,4.81,2.95
0.41,"Ideal","G","SI1",62.1,55,1110,4.78,4.81,2.98
0.47,"Premium","G","SI1",59.5,60,1110,5.09,5.06,3.02
0.4,"Good","E","SI1",60.6,65,1110,4.74,4.71,2.86
0.4,"Very Good","F","VVS1",62.9,55,1111,4.71,4.74,2.97
0.4,"Very Good","F","VVS1",61.9,59,1111,4.71,4.75,2.93
0.4,"Very Good","F","VVS1",62.3,60,1111,4.65,4.69,2.91
0.52,"Premium","F","SI2",61.7,58,1111,5.12,5.16,3.17
0.52,"Good","H","SI1",63.1,57,1111,5.09,5.14,3.23
0.52,"Very Good","H","SI1",62.6,55,1111,5.12,5.16,3.22
0.4,"Ideal","D","VVS2",62.8,56,1111,4.68,4.72,2.95
0.54,"Ideal","E","SI2",62.7,57,1111,5.2,5.23,3.27
0.7,"Good","I","I1",63.9,62,1111,5.62,5.57,3.58
0.52,"Very Good","E","SI2",60.7,56,1112,5.17,5.21,3.15
0.52,"Premium","F","SI1",62,59,1112,5.18,5.15,3.2
0.54,"Good","E","SI2",63.9,54,1112,5.18,5.12,3.29
0.38,"Ideal","E","VS2",60.1,56,1112,4.72,4.69,2.83
0.3,"Ideal","D","VVS1",62.2,57,1112,4.35,4.3,2.69
0.38,"Ideal","E","VS2",61.7,55,1112,4.68,4.66,2.88
0.38,"Premium","E","VS2",60.5,62,1112,4.74,4.65,2.84
0.38,"Premium","E","VS2",60.5,58,1112,4.7,4.66,2.83
0.38,"Premium","E","VS2",60.3,58,1112,4.72,4.67,2.83
0.38,"Premium","E","VS2",59.2,60,1112,4.77,4.73,2.81
0.38,"Premium","E","VS2",62.2,59,1112,4.67,4.63,2.89
0.38,"Premium","E","VS2",61.8,58,1112,4.64,4.61,2.86
0.38,"Ideal","E","VS1",62.2,55,1112,4.67,4.63,2.89
0.57,"Ideal","J","VS2",62.5,54,1113,5.32,5.34,3.33
0.53,"Ideal","G","SI2",62.3,53,1113,5.21,5.25,3.26
0.57,"Ideal","I","SI1",61.6,54,1113,5.36,5.38,3.31
0.46,"Good","F","VS1",64.4,60,1113,4.88,4.9,3.15
0.43,"Premium","G","VS2",60.8,59,1113,4.91,4.86,2.97
0.53,"Premium","H","SI2",62.5,60,1113,5.18,5.16,3.23
0.43,"Premium","H","VS1",62.3,58,1113,4.81,4.75,2.98
0.43,"Premium","H","VS1",60,59,1113,4.98,4.86,2.95
0.43,"Premium","G","VS2",61.3,58,1113,4.86,4.83,2.97
0.43,"Premium","G","VS2",61.1,58,1113,4.88,4.84,2.97
0.43,"Premium","G","VS2",61.2,58,1113,4.9,4.84,2.98
0.43,"Premium","G","VS2",59.1,60,1113,4.93,4.88,2.9
0.43,"Premium","G","VS2",62.9,59,1113,4.83,4.78,3.02
