"carat","cut","color","clarity","depth","table","price","x","y","z"
1.19,"Premium","H","SI1",62.7,61,5698,6.73,6.66,4.2
1.2,"Premium","I","VS2",62.6,58,5699,6.77,6.72,4.22
1.2,"Premium","I","VS2",62.6,58,5699,6.77,6.72,4.22
1.25,"Very Good","I","SI1",62.1,58,5699,6.86,6.9,4.27
1.2,"Premium","I","VS2",61.8,55,5699,6.93,6.8,4.24
1.2,"Premium","F","SI2",61.9,59,5699,6.86,6.74,4.21
1.2,"Ideal","I","VS2",63.2,59,5699,6.73,6.68,4.24
1.14,"Premium","H","VS2",61.3,59,5700,6.76,6.72,4.13
1.01,"Good","F","VS2",65.2,57,5700,6.19,6.23,4.05
1.01,"Good","D","SI1",58.4,62,5700,6.48,6.5,3.79
1.01,"Premium","G","VS2",61.2,57,5701,6.46,6.41,3.94
1.02,"Very Good","F","SI1",63.7,56,5701,6.34,6.41,4.06
1.01,"Very Good","G","VS2",63.2,57,5701,6.35,6.3,4
1.01,"Good","G","VS2",63.6,60,5701,6.35,6.3,4.02
1.01,"Good","G","VS2",63.9,54,5701,6.37,6.31,4.05
1.01,"Very Good","G","VS2",63.2,55,5701,6.39,6.34,4.02
1.01,"Good","G","VS2",63.7,56,5701,6.4,6.32,4.05
1.01,"Good","G","VS2",57.5,62,5701,6.58,6.53,3.77
1.01,"Premium","G","VS2",61.1,60,5701,6.46,6.37,3.92
1.01,"Premium","D","SI1",61.6,62,5701,6.44,6.38,3.95
1,"Good","G","VS2",63.1,61,5702,6.33,6.38,4.01
1,"Good","G","VS2",63.4,57,5702,6.27,6.31,3.99
1,"Very Good","G","VS2",63,59,5702,6.36,6.4,4.02
1,"Very Good","G","VS2",62.9,56,5702,6.27,6.42,3.99
1.02,"Ideal","E","SI1",61.9,55,5702,6.46,6.49,4.01
1.06,"Ideal","I","VS1",61.1,56,5702,6.59,6.61,4.03
1.05,"Ideal","D","SI2",62.1,58,5702,6.49,6.52,4.04
1.01,"Ideal","D","SI1",62,55,5702,6.39,6.45,3.98
1.16,"Premium","H","SI1",62.8,57,5702,6.73,6.67,4.21
1.22,"Ideal","H","SI2",61.1,57,5703,6.9,5.92,4.22
1.22,"Ideal","H","SI2",61.7,56,5703,6.83,6.91,4.24
1.01,"Very Good","D","SI2",63.1,54,5703,6.39,6.35,4.02
1.02,"Premium","F","VS2",63,60,5704,6.41,6.35,4.02
1.07,"Premium","D","SI1",61.9,58,5704,6.57,6.53,4.05
1.07,"Ideal","E","SI2",61.5,56,5704,6.61,6.58,4.06
1.05,"Ideal","H","SI1",60.8,56,5704,6.62,6.58,4.01
1.25,"Ideal","H","SI2",61.2,57,5706,6.89,6.93,4.23
1.09,"Premium","H","SI1",59.5,58,5706,6.73,6.71,4
1.02,"Good","G","VS1",57.3,59,5706,6.71,6.65,3.83
1.21,"Ideal","J","VS2",62.5,57,5707,6.79,6.74,4.23
0.31,"Very Good","F","VS2",61.1,58.1,605,4.33,4.37,2.66
0.26,"Ideal","G","VVS1",62.8,54,605,4.07,4.09,2.56
0.26,"Ideal","G","VVS1",62.4,56,605,4.11,4.14,2.57
0.38,"Ideal","J","VS1",62.2,55.7,605,4.63,4.65,2.89
0.41,"Ideal","G","SI2",61.3,56,605,4.78,4.81,2.94
0.26,"Ideal","G","IF",62.2,55,605,4.09,4.13,2.55
0.26,"Ideal","G","IF",62.5,57,605,4.06,4.1,2.55
0.36,"Premium","E","SI2",62.4,58,605,4.56,4.54,2.84
0.32,"Ideal","I","VS1",62.1,57,605,4.42,4.37,2.73
0.32,"Ideal","I","VS1",62.3,56,605,4.4,4.37,2.73
0.32,"Premium","H","VS2",62.7,58,605,4.35,4.33,2.72
0.31,"Premium","G","VS2",58.8,62,605,4.41,4.4,2.59
0.31,"Premium","G","VS2",61.2,59,605,4.4,4.36,2.68
0.31,"Premium","E","SI1",62.7,58,605,4.35,4.32,2.72
0.3,"Premium","F","VS2",61.1,59,605,4.29,4.32,2.63
0.3,"Very Good","G","VS1",62.3,59,605,4.27,4.3,2.67
0.3,"Premium","F","VS2",61.4,60,605,4.29,4.34,2.65
0.3,"Very Good","F","VS2",62.7,58,605,4.25,4.3,2.68
0.3,"Premium","G","VS1",61.8,59,605,4.34,4.37,2.69
0.3,"Ideal","F","VS2",61.1,56,605,4.31,4.33,2.64
0.3,"Ideal","F","VS2",60.4,56,605,4.34,4.37,2.63
0.3,"Good","H","VVS2",63.5,55,605,4.25,4.28,2.71
0.3,"Ideal","H","VVS2",62.6,55,605,4.25,4.28,2.67
0.3,"Good","G","VS1",63.4,58,605,4.23,4.25,2.69
0.3,"Ideal","F","VS2",61.8,57,605,4.31,4.33,2.67
0.3,"Ideal","H","VVS2",61.2,57,605,4.31,4.32,2.64
0.3,"Ideal","F","VS2",62.5,55,605,4.27,4.31,2.68
0.3,"Ideal","G","VS1",62.6,57,605,4.27,4.29,2.68
0.3,"Very Good","F","VS2",62.8,56,605,4.29,4.31,2.7
0.3,"Good","H","VVS2",63.6,56,605,4.26,4.29,2.72
1.04,"Premium","D","SI1",61.5,58,5708,6.53,6.48,4
1.04,"Good","D","SI1",63.7,58,5708,6.43,6.39,4.08
0.91,"Premium","F","VVS2",63,56,5708,6.17,6.12,3.87
1.02,"Very Good","D","SI1",62.7,60,5709,6.34,6.39,3.99
1.03,"Ideal","E","SI1",62,53,5710,6.5,6.47,4.02
1.03,"Premium","E","SI1",62.9,56,5710,6.49,6.39,4.05
1.2,"Ideal","H","SI2",61.6,57,5712,6.84,6.79,4.2
1.01,"Very Good","I","SI1",60.1,59,5712,6.44,6.47,3.88
1.2,"Premium","I","SI1",62.6,59,5712,6.85,6.79,4.27
1.2,"Premium","F","SI2",62.9,57,5712,6.8,6.72,4.25
1.2,"Ideal","H","SI2",61,57,5712,6.9,6.84,4.19
1.01,"Very Good","F","SI1",63.5,57,5713,6.38,6.31,4.03
1.06,"Very Good","D","SI1",59.4,57,5713,6.65,6.72,3.97
1.01,"Premium","F","SI1",58.9,60,5713,6.57,6.5,3.85
1.01,"Premium","G","VS2",62.6,56,5713,6.41,6.34,3.99
1.24,"Ideal","I","SI1",61.3,56,5714,6.9,6.93,4.24
1.22,"Ideal","G","SI2",59.6,56,5714,7.05,7.02,4.19
1.27,"Very Good","H","SI2",60.6,59,5715,6.97,7,4.23
1.35,"Premium","J","SI1",61.1,61,5715,7.13,7.1,4.35
1.23,"Ideal","F","SI2",62.8,57,5715,6.74,6.86,4.27
1.35,"Premium","I","SI2",59.8,59,5715,7.26,7.2,4.32
1.1,"Premium","F","SI1",59.5,59,5717,6.7,6.77,4.01
1.19,"Ideal","E","SI2",60.2,57,5717,6.84,6.87,4.13
1.32,"Very Good","H","SI1",63.5,57,5717,6.88,6.92,4.38
0.91,"Ideal","D","SI1",60.6,56,5717,6.27,6.3,3.81
1.23,"Premium","I","SI1",60.3,58,5717,6.95,6.92,4.18
1.23,"Premium","I","SI1",62,57,5717,6.91,6.83,4.26
1.23,"Premium","H","SI2",62,59,5717,6.92,6.88,4.28
1.2,"Premium","H","SI1",62.4,58,5718,6.76,6.79,4.23
1,"Very Good","E","SI1",59.2,59,5718,6.49,6.55,3.86
1,"Premium","F","VS2",60.6,59,5718,6.5,6.46,3.93
1.28,"Ideal","I","SI2",62.5,59,5719,6.88,6.95,4.32
1,"Very Good","E","VS2",62.8,63,5720,6.28,6.33,3.96
1.21,"Premium","F","SI1",61.1,61,5720,6.78,6.74,4.13
1.22,"Very Good","D","SI2",62.2,58,5721,6.85,6.91,4.28
1.32,"Ideal","I","SI2",61.7,55,5721,7.07,7.03,4.35
1.03,"Premium","H","VS2",61.8,58,5722,6.48,6.43,3.99
1.2,"Ideal","G","SI2",61.1,57,5722,6.83,6.86,4.18
1.2,"Ideal","J","VS1",61,57,5722,6.81,6.89,4.18
1.31,"Premium","H","VS1",62.1,58,5722,6.98,6.97,4.33
1.36,"Very Good","J","SI1",62,59,5723,7.01,7.06,4.36
1,"Good","G","VS2",63,58,5723,6.25,6.35,3.97
1.4,"Premium","G","SI2",60.6,58,5723,7.26,7.22,4.39
