"carat","cut","color","clarity","depth","table","price","x","y","z"
1.01,"Ideal","G","SI2",59.6,57,4327,6.59,6.54,3.91
1.01,"Premium","G","SI2",60.1,59,4327,6.55,6.46,3.91
1.01,"Ideal","G","SI2",60.5,58,4327,6.52,6.48,3.93
1.01,"Premium","G","SI2",60.4,59,4327,6.57,6.52,3.95
1.01,"Premium","G","SI2",62.5,60,4327,6.39,6.34,3.98
1.01,"Premium","G","SI2",61,58,4327,6.48,6.43,3.94
1.01,"Premium","G","SI2",60.1,61,4327,6.6,6.55,3.95
0.9,"Very Good","H","VS2",62.3,59,4328,6.1,6.17,3.82
0.9,"Very Good","H","VS1",62.5,58,4328,6.08,6.14,3.82
1,"Fair","F","SI1",67.1,57,4328,6.06,6.1,4.08
1.15,"Premium","E","SI2",62.5,58,4328,6.72,6.65,4.18
1.15,"Premium","E","SI2",61.7,60,4328,6.78,6.7,4.16
1.03,"Fair","I","VS1",57.6,58,4328,6.67,6.58,3.81
1.03,"Premium","E","SI2",61.4,58,4328,6.49,6.45,3.97
1.5,"Fair","I","SI2",70.1,58,4328,6.96,6.85,4.84
0.92,"Ideal","H","VS1",60.9,57,4328,6.33,6.29,3.84
1.19,"Very Good","J","SI2",63.4,56.8,4329,6.7,6.79,4.27
1.04,"Premium","D","SI2",58.2,59,4330,6.67,6.62,3.87
1.01,"Premium","E","SI1",61.7,56,4330,6.44,6.39,3.96
1.05,"Ideal","H","SI2",61.2,57,4331,6.55,6.62,4.03
1.05,"Ideal","H","SI2",61.2,57,4331,6.54,6.59,4.02
1.25,"Premium","J","SI2",62.3,59,4331,6.82,6.86,4.26
1.19,"Premium","H","SI2",61.9,58,4332,6.84,6.77,4.21
0.91,"Premium","E","SI1",62.1,58,4332,6.15,6.18,3.83
1.04,"Very Good","H","SI2",60.2,60,4332,6.52,6.57,3.94
1.01,"Very Good","F","SI2",62.2,58,4332,6.33,6.38,3.95
1.01,"Very Good","F","SI2",62.1,58,4332,6.35,6.41,3.96
1.06,"Ideal","I","SI1",62.8,56,4333,6.52,6.47,4.08
1.08,"Ideal","H","SI1",62.2,57,4333,6.56,6.6,4.09
0.96,"Ideal","F","VS1",61.7,56,4333,6.4,6.34,3.93
1,"Premium","F","SI2",62.9,56,4333,6.42,6.36,4.02
1,"Premium","F","SI2",59.9,61,4333,6.46,6.42,3.86
1,"Premium","F","SI2",61.6,62,4333,6.37,6.3,3.9
