"carat","cut","color","clarity","depth","table","price","x","y","z"
1.01,"Good","D","SI1",63.9,61,5147,6.31,6.28,4.02
1.01,"Premium","H","VS1",61.6,57,5147,6.47,6.38,3.96
1.01,"Premium","D","SI1",59.8,54,5147,6.6,6.5,3.93
1.01,"Premium","D","SI1",59.2,61,5147,6.4,6.34,3.77
1.01,"Premium","D","SI1",58.1,61,5147,6.66,6.59,3.85
1.01,"Fair","D","SI1",64.4,61,5147,6.17,6.13,3.96
1,"Good","G","VS2",63.8,59,5148,6.26,6.34,4.02
0.9,"Very Good","G","VS1",61.5,56,5148,6.2,6.23,3.82
1.14,"Very Good","I","VS1",63.3,56,5148,6.68,6.6,4.2
1.14,"Premium","I","VS1",60.3,57,5148,6.83,6.81,4.11
1.13,"Ideal","I","SI1",61.9,57,5149,6.68,6.66,4.13
1.09,"Ideal","H","SI1",61.4,57,5149,6.66,6.6,4.07
1.09,"Premium","H","SI1",60.5,60,5149,6.72,6.67,4.05
1.09,"Ideal","H","SI1",62.3,57,5149,6.58,6.54,4.09
0.9,"Very Good","E","VS1",61.1,59,5151,6.14,6.2,3.77
0.83,"Ideal","E","VS1",62.2,56,5151,5.99,6.03,3.74
1.26,"Premium","I","SI2",60.1,59,5151,7,6.91,4.18
1,"Premium","F","SI1",59.8,59,5151,6.55,6.49,3.9
1,"Premium","F","SI1",61.8,58,5151,6.44,6.37,3.96
1.04,"Very Good","F","SI1",59.7,59,5152,6.67,6.56,3.95
1,"Premium","F","SI1",62.5,59,5152,6.39,6.34,3.98
1.06,"Premium","H","VS2",61.1,59,5152,6.58,6.51,4
1.15,"Ideal","J","VS1",61.5,55,5152,6.81,6.76,4.17
1.11,"Ideal","I","VS1",63,56,5152,6.61,6.57,4.15
1,"Premium","F","SI1",62.1,59,5152,6.39,6.36,3.96
1.11,"Premium","E","SI2",62.6,59,5152,6.71,6.65,4.18
1,"Premium","G","SI1",60.5,61,5152,6.51,6.45,3.92
1.27,"Ideal","I","SI2",62.1,56,5154,6.92,6.96,4.31
1.18,"Ideal","I","SI1",62.1,56,5154,6.79,6.77,4.21
0.73,"Ideal","F","VVS1",61.9,56,5154,5.75,5.79,3.57
0.34,"Ideal","G","VS2",62.2,55,596,4.47,4.5,2.79
0.4,"Good","I","SI1",63.9,57,596,4.66,4.7,2.99
0.34,"Ideal","G","VS2",61,57,596,4.48,4.5,2.74
0.34,"Premium","G","VS2",61.8,58,596,4.47,4.5,2.77
0.34,"Ideal","G","VS2",62.1,57,596,4.46,4.5,2.78
0.34,"Premium","G","VS2",61.6,60,596,4.47,4.49,2.76
0.34,"Ideal","G","VS2",62.7,55,596,4.48,4.49,2.81
0.4,"Very Good","I","SI1",59.8,57,596,4.8,4.83,2.88
0.34,"Very Good","E","SI1",62.9,55,596,4.47,4.5,2.82
0.34,"Premium","G","VS2",60.2,58,596,4.52,4.55,2.73
0.34,"Very Good","E","SI1",63,55,596,4.42,4.47,2.8
0.4,"Good","G","SI2",63.2,56,596,4.7,4.73,2.98
0.4,"Good","I","SI1",63.2,54,596,4.67,4.69,2.96
0.34,"Ideal","G","VS2",62.1,55,596,4.46,4.49,2.78
0.4,"Good","G","SI2",63.4,59,596,4.64,4.66,2.95
0.34,"Premium","H","VS1",62.2,58,596,4.43,4.48,2.77
0.34,"Good","E","SI1",63.3,56,596,4.41,4.44,2.8
0.34,"Very Good","E","SI1",59,60,596,4.56,4.62,2.71
0.34,"Ideal","G","VS2",62,54,596,4.47,4.5,2.78
0.4,"Ideal","I","SI1",61.6,56,596,4.68,4.74,2.9
0.34,"Good","I","VVS2",63.1,56,596,4.43,4.47,2.81
0.34,"Ideal","H","VS1",62.3,55,596,4.45,4.48,2.78
0.34,"Premium","H","VS1",62.1,58,596,4.46,4.49,2.78
0.34,"Premium","G","VS2",61.6,58,596,4.45,4.51,2.76
0.34,"Very Good","G","VS2",60.3,54,596,4.53,4.56,2.74
0.34,"Premium","I","VVS2",61.5,60,596,4.45,4.49,2.75
0.26,"Very Good","F","VVS2",60,59,597,4.11,4.15,2.48
0.26,"Very Good","F","VVS2",63.2,54,597,4.05,4.08,2.57
0.26,"Very Good","F","VVS2",59.9,59,597,4.12,4.2,2.49
0.26,"Very Good","E","VVS2",63,58,597,4.08,4.11,2.58
0.73,"Ideal","F","VVS1",61.4,56,5154,5.8,5.81,3.56
1.01,"Ideal","F","SI2",62.4,54,5154,6.41,6.44,4.01
1.01,"Ideal","F","SI2",61.7,56,5154,6.43,6.47,3.98
1.08,"Ideal","H","SI1",59.7,60,5154,6.71,6.69,4
1.04,"Premium","D","SI2",59.8,58,5154,6.61,6.56,3.94
1.04,"Premium","H","SI1",61.6,58,5154,6.53,6.48,4.01
1,"Premium","G","SI1",61.9,62,5154,6.22,6.18,3.84
1.2,"Premium","G","SI1",62.2,58,5154,6.8,6.7,4.2
1.08,"Very Good","H","VS2",62.2,57,5155,6.5,6.55,4.06
1.02,"Very Good","F","SI1",60.7,59,5155,6.49,6.55,3.96
0.94,"Ideal","D","SI2",62.2,56,5155,6.24,6.27,3.89
1.25,"Premium","J","VS1",60.9,59,5156,6.9,6.92,4.21
1.05,"Ideal","D","SI2",62.1,56,5156,6.48,6.54,4.04
1.37,"Premium","J","SI2",60.7,60,5156,7.19,7.07,4.33
1.62,"Premium","J","SI2",61.8,59,5157,7.48,7.44,4.61
1.01,"Ideal","H","SI1",61.8,54,5158,6.48,6.44,3.99
1.09,"Ideal","I","VS2",62,57,5158,6.64,6.58,4.1
1.23,"Ideal","J","SI2",62.4,58,5158,6.79,6.86,4.26
1.29,"Ideal","D","I1",61.3,56,5158,7.05,6.99,4.3
0.94,"Ideal","F","SI2",60.6,54,5159,6.39,6.34,3.86
1.06,"Ideal","D","SI2",62.3,55,5159,6.5,6.54,4.06
1.06,"Ideal","G","SI1",62,56,5159,6.52,6.55,4.05
1.22,"Very Good","J","VS2",60.8,56,5160,6.95,6.91,4.21
0.9,"Very Good","F","VS2",62.7,58,5160,6.12,6.19,3.86
0.9,"Ideal","F","VS2",62.3,57,5160,6.18,6.21,3.86
1,"Fair","G","VS2",64.5,58,5161,6.26,6.2,4.02
1.44,"Premium","E","I1",61.1,62,5161,7.23,7.15,4.39
