"carat","cut","color","clarity","depth","table","price","x","y","z"
1.01,"Premium","H","SI2",60.6,61,3959,6.45,6.38,3.89
1.01,"Good","H","SI2",63.9,58,3959,6.35,6.32,4.05
1.01,"Premium","H","SI2",62.5,58,3959,6.39,6.35,3.98
1.01,"Premium","I","SI1",62.7,59,3959,6.43,6.36,4.01
1.01,"Good","D","SI2",63.6,61,3959,6.35,6.33,4.03
1.01,"Very Good","H","SI2",63.4,55,3959,6.35,6.29,4.01
1.01,"Good","I","SI1",63.6,55,3959,6.39,6.31,4.04
0.97,"Very Good","G","SI2",59.8,58,3960,6.38,6.42,3.83
1.04,"Premium","I","SI2",61.6,56,3960,6.56,6.49,4.02
0.91,"Very Good","G","SI1",63.6,57,3961,6.09,6.12,3.88
0.75,"Ideal","D","VS1",62.4,56,3961,5.79,5.84,3.63
0.91,"Premium","E","SI1",61.9,61,3961,6.14,6.11,3.79
1.09,"Premium","D","SI2",61.9,61,3961,6.58,6.54,4.06
0.88,"Ideal","D","SI2",62.2,56,3962,6.12,6.16,3.82
0.91,"Very Good","F","SI1",62.7,56,3963,6.11,6.17,3.85
0.94,"Very Good","E","SI2",62,60,3963,6.19,6.22,3.85
0.91,"Premium","H","VS2",62.3,57,3963,6.22,6.13,3.85
0.9,"Very Good","H","VS1",62.6,55,3964,6.14,6.19,3.86
0.9,"Very Good","H","VS1",62.7,56,3964,6.15,6.2,3.87
1.21,"Very Good","I","SI2",63.4,62,3964,6.84,6.69,4.31
1,"Fair","G","SI1",68.3,61,3965,6.02,5.93,4.08
1.18,"Very Good","E","I1",63.3,57,3965,6.7,6.64,4.22
1.18,"Premium","E","I1",62.5,58,3965,6.75,6.62,4.18
1,"Good","D","SI2",64.3,60,3965,6.22,6.19,3.99
1,"Good","D","SI2",64.3,53,3965,6.34,6.29,4.06
1,"Fair","G","SI1",65.2,62,3965,6.19,6.08,4.01
1,"Very Good","D","SI2",63.2,56,3965,6.38,6.33,4.02
1,"Very Good","D","SI2",60.8,63,3965,6.41,6.36,3.88
1,"Good","G","SI1",62.2,65,3965,6.28,6.22,3.89
1,"Fair","D","SI2",65,56,3965,6.27,6.23,4.06
0.25,"Very Good","E","VVS1",60,56,575,4.1,4.14,2.47
0.25,"Very Good","E","VVS1",60.2,59,575,4.11,4.13,2.48
0.33,"Very Good","I","VS1",59.9,62,575,4.48,4.57,2.71
0.3,"Very Good","E","VS2",62.1,62,575,4.21,4.26,2.63
0.32,"Ideal","I","VVS1",62.2,53,575,4.42,4.45,2.76
0.32,"Ideal","I","VVS1",61.4,56,575,4.42,4.44,2.72
0.25,"Ideal","F","VVS1",60.9,57,575,4.06,4.09,2.48
0.33,"Ideal","D","SI1",62.2,54,575,4.45,4.46,2.77
0.25,"Good","E","VVS1",61.3,61,575,4.04,4.08,2.49
0.37,"Good","F","SI1",63.7,55,575,4.55,4.59,2.91
0.32,"Very Good","G","VS2",61.9,56,576,4.36,4.39,2.71
0.32,"Ideal","H","SI1",60.6,57,576,4.44,4.4,2.68
0.32,"Premium","E","SI2",62.4,58,576,4.4,4.35,2.73
0.32,"Ideal","E","SI2",62,55,576,4.41,4.36,2.72
0.32,"Premium","E","SI2",59.7,60,576,4.45,4.43,2.65
0.32,"Ideal","E","SI2",62.7,57,576,4.37,4.34,2.73
0.32,"Ideal","I","VS2",60.3,56,576,4.45,4.44,2.68
0.32,"Ideal","I","VS2",61.5,56,576,4.41,4.4,2.71
0.32,"Ideal","I","VS2",62.2,57,576,4.42,4.39,2.74
0.32,"Premium","I","VS2",62.6,58,576,4.42,4.37,2.75
0.32,"Ideal","I","VS2",62.5,55,576,4.39,4.38,2.74
0.32,"Ideal","I","VS2",63,56,576,4.42,4.38,2.77
0.32,"Ideal","I","VS2",61.3,56,576,4.43,4.38,2.7
0.32,"Premium","I","VS2",61.1,57,576,4.42,4.39,2.69
0.32,"Ideal","I","VS2",62.5,57,576,4.39,4.35,2.73
0.32,"Ideal","I","VS2",62,57,576,4.41,4.36,2.72
0.32,"Ideal","I","VS2",61.6,56,576,4.39,4.37,2.7
0.32,"Ideal","I","VS2",62.5,55,576,4.4,4.37,2.74
0.32,"Ideal","I","VS2",62.9,57,576,4.4,4.37,2.76
0.32,"Premium","I","VS2",62.2,59,576,4.37,4.35,2.71
1,"Fair","D","SI2",66.5,59,3965,6.24,6.21,4.14
1.2,"Premium","H","SI2",62.1,57,3965,6.84,6.69,4.21
0.77,"Very Good","G","VVS1",62.7,54,3966,5.84,5.89,3.67
1.01,"Very Good","G","SI2",61.8,58,3966,6.36,6.39,3.94
1.01,"Very Good","G","SI2",62.1,61,3966,6.27,6.38,3.93
1.01,"Very Good","G","SI2",63,58,3966,6.29,6.34,3.98
0.82,"Ideal","E","SI1",61.9,56,3966,6,6.02,3.72
0.77,"Premium","D","VS1",59.4,59,3966,6,5.96,3.55
0.8,"Premium","E","VS1",61.7,58,3967,5.98,5.95,3.68
1.13,"Very Good","E","SI2",59.4,62,3967,6.78,6.83,4.04
0.92,"Very Good","F","SI1",63.5,58,3967,6.16,6.12,3.9
0.92,"Premium","F","SI1",61.8,59,3967,6.25,6.21,3.85
0.9,"Ideal","H","SI1",61.1,58,3967,6.24,6.19,3.79
