"carat","cut","color","clarity","depth","table","price","x","y","z"
0.53,"Ideal","D","IF",61.5,54,3517,5.27,5.21,3.22
0.94,"Very Good","F","SI2",62.4,58,3518,6.17,6.23,3.87
0.74,"Ideal","E","VS2",60.2,55,3518,5.87,5.92,3.55
0.71,"Ideal","D","VS1",60.9,57,3518,5.74,5.76,3.5
0.9,"Very Good","I","VS2",63.3,58,3519,6.07,6.13,3.86
0.9,"Very Good","F","SI2",60.3,57,3519,6.27,6.34,3.8
0.9,"Very Good","F","SI2",61.1,54,3519,6.27,6.29,3.84
0.9,"Very Good","F","SI2",61.4,57,3519,6.21,6.24,3.82
0.9,"Very Good","F","SI2",61.6,58,3519,6.15,6.23,3.81
0.9,"Good","F","SI2",63.1,58,3519,6.11,6.13,3.86
0.9,"Very Good","F","SI2",62.4,59,3519,6.12,6.16,3.83
0.9,"Very Good","F","SI2",62.3,58,3519,6.16,6.19,3.85
0.9,"Good","F","SI2",63.1,56,3519,6.12,6.18,3.88
0.79,"Very Good","F","SI1",62.9,57,3519,5.86,5.94,3.71
1.02,"Premium","E","I1",60.4,62,3519,6.52,6.47,3.92
1,"Ideal","E","I1",61.8,56,3520,6.38,6.43,3.96
0.91,"Good","E","SI2",63.1,61,3520,6.04,6.14,3.84
0.91,"Good","H","SI1",63.8,60,3520,6,6.16,3.88
1.02,"Ideal","I","SI2",62.9,56,3521,6.45,6.37,4.03
0.9,"Ideal","G","SI2",62.5,56,3521,6.15,6.2,3.86
0.9,"Ideal","G","SI2",61.2,57,3521,6.24,6.28,3.83
0.93,"Ideal","G","SI1",60.9,57,3521,6.29,6.25,3.82
0.72,"Ideal","D","VS1",61.6,56,3522,5.73,5.8,3.55
0.96,"Good","G","SI1",56.6,63,3522,6.52,6.39,3.67
0.73,"Ideal","F","VVS2",61.7,54,3524,5.76,5.82,3.57
0.7,"Ideal","H","VVS1",60.3,56,3524,5.77,5.82,3.49
0.71,"Good","D","VS1",59.2,56,3524,5.84,5.85,3.46
1.11,"Premium","J","SI1",59.5,58,3524,6.89,6.77,4.07
0.75,"Ideal","G","VVS2",61.3,55,3525,5.85,5.89,3.59
0.73,"Ideal","G","VS1",61.7,56,3525,5.76,5.79,3.56
0.9,"Very Good","E","SI2",63.2,59,3526,6.1,6.15,3.87
0.71,"Ideal","E","SI1",60.5,56,3527,5.81,5.84,3.53
0.95,"Very Good","E","SI2",58.7,63,3527,6.43,6.37,3.76
1,"Premium","F","SI1",62.4,58,3528,6.39,6.27,3.95
1,"Ideal","G","SI2",60.3,57,3528,6.51,6.45,3.91
0.82,"Very Good","G","VS2",62.1,56,3528,5.94,5.98,3.7
0.73,"Ideal","D","VS2",61.4,56,3528,5.78,5.81,3.56
1,"Good","H","SI2",63.9,58,3528,6.36,6.28,4.03
1,"Premium","J","SI1",61.9,62,3528,6.36,6.33,3.93
1,"Good","I","SI2",63.9,60,3528,6.3,6.26,4.01
1.24,"Premium","E","I1",61.1,62,3528,6.91,6.86,4.21
1,"Ideal","J","SI2",62.1,56,3528,6.41,6.34,3.96
0.84,"Premium","E","VS2",62.4,60,3528,6.04,5.98,3.75
1.05,"Ideal","J","VS1",60.6,56,3528,6.59,6.55,3.98
1.05,"Ideal","H","SI2",62,57,3528,6.54,6.5,4.04
0.92,"Premium","I","SI1",60.7,58,3529,6.3,6.25,3.81
0.7,"Ideal","D","VS1",62.8,54,3529,5.65,5.69,3.56
1.03,"Fair","G","SI2",65.7,58,3530,6.32,6.26,4.13
1.03,"Ideal","I","SI2",59.8,56,3530,6.64,6.58,3.95
1.03,"Fair","I","SI2",65.2,56,3530,6.42,6.35,4.16
0.24,"Very Good","E","SI1",59.9,58,571,4.06,4.1,2.44
0.35,"Ideal","H","VS2",61.2,56,571,4.54,4.55,2.78
0.35,"Ideal","H","VS2",61.7,56,571,4.55,4.59,2.82
0.35,"Ideal","H","VS2",61.2,56,571,4.53,4.56,2.78
0.35,"Ideal","I","VS1",61.7,54,571,4.54,4.57,2.81
0.35,"Ideal","I","VS1",62.1,54,571,4.54,4.57,2.83
0.36,"Ideal","G","SI1",61.5,54,571,4.6,4.63,2.84
0.36,"Ideal","G","SI1",61.1,55,571,4.58,4.62,2.81
0.36,"Ideal","G","SI1",61.4,55,571,4.61,4.64,2.84
0.32,"Ideal","G","SI1",62.6,55,571,4.41,4.38,2.75
0.32,"Good","D","SI2",64.1,54,571,4.37,4.34,2.79
0.34,"Very Good","E","SI2",63.1,56,571,4.51,4.46,2.83
0.31,"Premium","D","SI1",62,58,571,4.3,4.35,2.68
0.31,"Good","D","SI1",63.5,57,571,4.28,4.32,2.73
0.31,"Ideal","D","SI1",62.3,54,571,4.33,4.37,2.71
0.31,"Premium","D","SI1",61.4,58,571,4.33,4.36,2.67
0.31,"Good","D","SI1",63.4,55,571,4.28,4.3,2.72
0.31,"Ideal","D","SI1",61.9,57,571,4.33,4.36,2.69
0.31,"Ideal","D","SI1",62.7,56,571,4.32,4.36,2.72
0.31,"Very Good","D","SI1",63,55,571,4.32,4.34,2.73
0.31,"Ideal","D","SI1",62,55,571,4.36,4.38,2.71
0.31,"Ideal","I","VVS1",61.4,54,571,4.38,4.41,2.7
0.31,"Good","D","SI1",63.5,56,571,4.29,4.31,2.73
0.31,"Ideal","D","SI1",61.8,57,571,4.32,4.36,2.68
0.31,"Ideal","D","SI1",62.4,56,571,4.33,4.35,2.71
0.31,"Very Good","D","SI1",61.7,59,571,4.31,4.35,2.67
0.31,"Ideal","D","SI1",61.7,57,571,4.34,4.38,2.69
0.31,"Good","D","SI1",63.1,57,571,4.3,4.32,2.72
0.31,"Ideal","D","SI1",61.4,55,571,4.35,4.38,2.68
0.31,"Good","D","SI1",63.4,58,571,4.32,4.35,2.75
0.91,"Very Good","G","SI2",60,57,3531,6.27,6.32,3.78
0.78,"Ideal","F","VS2",60.4,58,3531,6,5.95,3.61
0.78,"Ideal","F","VS2",61.5,56,3531,5.94,5.9,3.64
0.78,"Ideal","F","VS2",62.3,56,3531,5.91,5.88,3.67
1.01,"Good","F","SI2",63.8,57,3532,6.31,6.36,4.04
0.77,"Ideal","F","VS2",61.8,56,3533,5.9,5.92,3.65
0.96,"Fair","E","SI2",65.6,58,3533,6.11,6.15,4.02
0.9,"Very Good","D","SI2",60.3,63,3534,6.12,6.22,3.72
0.9,"Very Good","D","SI2",60.6,61,3534,6.14,6.2,3.74
0.9,"Very Good","D","SI2",63,58,3534,6.12,6.16,3.87
0.9,"Good","D","SI2",60.3,64,3534,6.1,6.14,3.69
0.78,"Very Good","D","VS2",63,58,3534,5.8,5.86,3.67
1.02,"Good","J","SI2",63.4,56,3534,6.36,6.42,4.05
1.02,"Very Good","J","SI2",62.6,60,3534,6.39,6.42,4.01
0.92,"Very Good","F","SI2",60.6,63,3534,6.34,6.25,3.81
0.9,"Very Good","I","VS2",62.1,61,3535,6.08,6.12,3.79
0.82,"Very Good","G","VS2",59.8,56,3535,6.13,6.18,3.68
0.84,"Very Good","G","VS2",62,56,3535,6.07,6.09,3.77
0.73,"Ideal","E","VVS2",61.6,55,3535,5.8,5.83,3.58
0.7,"Ideal","D","VS1",62.2,56,3535,5.69,5.72,3.55
1.01,"Premium","J","VS2",59.8,61,3535,6.47,6.43,3.86
0.7,"Very Good","F","VVS1",60.6,60,3536,5.67,5.7,3.45
0.65,"Ideal","G","IF",60.1,57,3536,5.61,5.65,3.38
0.7,"Good","F","VVS1",61.2,61,3536,5.71,5.79,3.52
1,"Good","J","SI2",57.8,61,3536,6.54,6.58,3.79
0.92,"Fair","H","SI2",64.5,60,3536,6.06,6.01,3.89
0.78,"Ideal","F","VS1",61.6,56,3537,5.9,5.92,3.64
0.74,"Ideal","G","VVS1",62.1,54,3537,5.8,5.83,3.61
1.08,"Ideal","J","SI2",61.8,57,3537,6.56,6.58,4.06
0.9,"Ideal","I","SI1",62,56,3537,6.16,6.23,3.84
0.91,"Good","E","SI2",63.9,61,3538,6.03,6.09,3.87
0.9,"Fair","H","VS2",64.8,58,3538,6.07,6.03,3.92
0.9,"Good","H","VS2",64,57,3538,6.14,6.11,3.92
